_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Miami Gardens,Florida,25.942075,-80.239753,St. Thomas University School of Law,Private,Full ABA,Broward County,
Davie,Florida,26.075729,-80.284109,"Shepard Broad Law Center, Nova Southeastern University",Private,Full ABA,Broward County,
Naples,Florida,26.142036,-81.79481,Ave Maria School of Law,Private,Full ABA,Collier County,
Gulfport,Florida,27.746197,-82.712723,Stetson University College of Law,Private,Full ABA,Pinellas County,
Orlando,Florida,28.553474,-81.323161,Barry University School of Law,Private,Full ABA,Orange County,"6441 E Colonial Dr, Orlando, FL 32807"
San Antonio,Texas,29.4246,-98.49514,St. Mary's University School of Law,Private,Full ABA,Bexar County,
Gainesville,Florida,29.651907,-82.324798,University of Florida Levin College of Law,Public,Full ABA,Alachua County,
Houston,Texas,29.724583,-95.36261,"Thurgood Marshall School of Law, Texas Southern University",Public,Full ABA,Harris County,"3100 Cleburne St, Houston, TX 77004"
Houston,Texas,29.727317,-95.338293,University of Houston Law Center,Public,Full ABA,Harris County,"4604 Calhoun Rd, Houston, TX 77004"
Houston,Texas,29.753499,-95.364975,South Texas College of Law,Private,Full ABA,Harris County,"1303 San Jacinto St, Houston, TX 77002"
New Orleans,Louisiana,29.937075,-90.128452,Loyola University New Orleans College of Law,Private,Full ABA,Orleans Parish,"526 Pine St, New Orleans, LA 70118"
New Orleans,Louisiana,29.937519,-90.118619,Tulane University School of Law,Private,Full ABA,Orleans Parish,"6329 Freret St, New Orleans, LA 70118"
Austin,Texas,30.271129,-97.743699,University of Texas School of Law,Public,Full ABA,Travis County,
Jacksonville,Florida,30.332184,-81.655651,Florida Coastal School of Law,Private,Full ABA,Duval County,
Tallahassee,Florida,30.438083,-84.280933,Florida State University College of Law,Public,Full ABA,Leon County,
Waco,Texas,31.549333,-97.146669,"Baylor Law School, Baylor University",Private,Full ABA,McLennan County,
Savannah,Georgia,32.083541,-81.099834,Savannah Law School,Private,Full ABA,Chatham County,
Tucson,Arizona,32.221742,-110.926476,"James E. Rogers College of Law, University of Arizona",Public,Full ABA,Pima County,
Montgomery,Alabama,32.366966,-86.300648,"Thomas Goode Jones School of Law, Faulkner University",Private,Full ABA,Montgomery County,
Jackson,Mississippi,32.410438,-90.162065,Mississippi College School of Law,Private,Full ABA,Hinds County,
San Diego,California,32.710136,-117.154193,Thomas Jefferson School of Law,Private,Full ABA,San Diego County,"1155 Island Ave, San Diego, CA 92101"
San Diego,California,32.721739,-117.162491,California Western School of Law,Private,Full ABA,San Diego County,"225 Cedar St, San Diego, CA 92101"
Fort Worth,Texas,32.753177,-97.332746,Texas A&M University School of Law,Public,Full ABA,Tarrant County,
Dallas,Texas,32.776272,-96.796856,"Dedman School of Law, Southern Methodist University",Private,Full ABA,Dallas County,
Charleston,South Carolina,32.787601,-79.940273,Charleston School of Law,Private,Full ABA,Charleston County,
Macon,Georgia,32.840695,-83.632402,"Walter F. George School of Law, Mercer University",Private,Full ABA,Bibb County,
Tuscaloosa,Alabama,33.26684,-87.486218,University of Alabama School of Law,Public,Full ABA,Tuscaloosa County,
Tempe,Arizona,33.414631,-111.909376,"Sandra Day O'Connor College of Law, Arizona State University",Public,Full ABA,Maricopa County,
Phoenix,Arizona,33.446768,-112.075672,Phoenix School of Law,Private,Full ABA,Maricopa County,
Lubbock,Texas,33.577863,-101.855166,Texas Tech University School of Law,Public,Full ABA,Lubbock County,
Irvine,California,33.646868,-117.835225,"University of California, Irvine School of Law",Public,Full ABA,Orange County,"401 E Peltason Dr, Irvine, CA 92612"
Costa Mesa,California,33.663339,-117.903317,Whittier Law School,Private,Full ABA,Orange County,
Atlanta,Georgia,33.756673,-84.38721,Georgia State University College of Law,Public,Full ABA,Fulton County,"85 Park Pl NE, Atlanta, GA 30303"
Malibu,California,33.793214,-116.502356,Pepperdine University School of Law,Private,Full ABA,Riverside County,
Orange,California,33.793384,-117.852938,Chapman University School of Law,Private,Full ABA,Orange County,"1 University Dr, Orange, CA 92866"
Atlanta,Georgia,33.793676,-84.388835,John Marshall Law School,Private,Full ABA,Fulton County,"1422 West Peachtree St NW, Atlanta, GA 30309"
Atlanta,Georgia,33.795478,-84.321354,Emory University School of Law,Private,Full ABA,DeKalb County,"1301 Clifton Rd NE, Atlanta, GA 30322"
Fullerton,California,33.870822,-117.929416,Western State University College of Law,Private,Full ABA,Orange County,
Athens,Georgia,33.959597,-83.376678,University of Georgia School of Law,Public,Full ABA,Clarke County,
Columbia,South Carolina,34.000749,-81.034331,University of South Carolina School of Law,Public,Full ABA,Richland County,
Los Angeles,California,34.018069,-118.284902,"Gould School of Law, University of Southern California",Private,Full ABA,Los Angeles County,"699 Exposition Blvd, Los Angeles, CA 90089"
Los Angeles,California,34.049114,-118.270388,"Loyola Law School, Loyola Marymount University",Private,Full ABA,Los Angeles County,"919 Albany St, Los Angeles, CA 90015"
Los Angeles,California,34.060324,-118.289186,Southwestern University School of Law,Private,Full ABA,Los Angeles County,"675 S Westmoreland Ave, Los Angeles, CA 90005"
Los Angeles,California,34.074207,-118.438629,"University of California, Los Angeles School of Law",Public,Full ABA,Los Angeles County,"385 Charles E Young Dr E, Los Angeles, CA 90095"
Oxford,Mississippi,34.366413,-89.518766,University of Mississippi School of Law,Public,Full ABA,Lafayette County,
Little Rock,Arkansas,34.746481,-92.289595,"William H. Bowen School of Law, University of Arkansas at Little Rock",Public,Full ABA,Pulaski County,
Albuquerque,New Mexico,35.084103,-106.650985,University of New Mexico School of Law,Public,Full ABA,Bernalillo County,
Memphis,Tennessee,35.149022,-90.051628,"Cecil C. Humphreys School of Law, University of Memphis",Public,Full ABA,Shelby County,
