_city,_state,_lat,_lon,_school_content,_type_value,_accreditation_content,_county,_street_address
Albany,New York,42.651167,-73.754968,"Albany Law School, Union University",Private,Full ABA,Albany County,
Lansing,Michigan,42.733771,-84.55538,Western Michigan University Thomas M. Cooley Law School,Private,Full ABA,Ingham County,
East Lansing,Michigan,42.735542,-84.485247,Michigan State University College of Law,Public,Full ABA,Ingham County,
Vermillion,South Dakota,42.779442,-96.92921,University of South Dakota School of Law,Public,Full ABA,Clay County,
Buffalo,New York,42.886447,-78.878369,"University at Buffalo Law School, SUNY",Public,Full ABA,Erie County,
Milwaukee,Wisconsin,43.034993,-87.922497,Marquette University Law School,Private,Full ABA,Milwaukee County,
Syracuse,New York,43.048122,-76.147424,Syracuse University College of Law,Private,Full ABA,Onondaga County,
Madison,Wisconsin,43.074761,-89.383761,University of Wisconsin Law School,Public,Full ABA,Dane County,
Concord,New Hampshire,43.207106,-71.537022,University of New Hampshire School of Law,Public,Full ABA,Merrimack County,
Portland,Maine,43.661028,-70.25486,University of Maine School of Law,Public,Full ABA,Cumberland County,
Royalton,Vermont,43.815901,-72.545654,Vermont Law School,Private,Full ABA,Windsor County,
Eugene,Oregon,44.101181,-123.152384,University of Oregon School of Law,Public,Full ABA,Lane County,
Salem,Oregon,44.939157,-123.033121,Willamette University College of Law,Private,Full ABA,Marion County,
St. Paul,Minnesota,44.941469,-93.137157,Hamline University School of Law,Private,Full ABA,Ramsey County,"875 Summit Ave., Saint Paul, MN 55105"
Minneapolis,Minnesota,44.973082,-93.244271,University of Minnesota Law School,Public,Full ABA,Hennepin County,"229 19th Ave S, Minneapolis, MN 55455"
Minneapolis,Minnesota,44.974496,-93.276338,University of St. Thomas School of Law,Private,Full ABA,Hennepin County,"1000 Lasalle Ave, Minneapolis, MN 55403"
Portland,Oregon,45.520247,-122.674195,Lewis & Clark Law School,Private,Full ABA,Multnomah County,
Moscow,Idaho,46.732388,-117.000165,University of Idaho College of Law,Public,Full ABA,Latah County,
Missoula,Montana,46.87008,-113.99528,University of Montana School of Law,Public,Full ABA,Missoula County,
Seattle,Washington,47.608974,-122.315838,Seattle University School of Law,Private,Full ABA,King County,"1215 E Columbia St, Seattle, WA 98122"
Spokane,Washington,47.65886,-117.424713,Gonzaga University School of Law,Private,Full ABA,Spokane County,
Seattle,Washington,47.660505,-122.309742,University of Washington School of Law,Public,Full ABA,King County,"4293 Memorial Way Northeast, Seattle, WA 98195"
Grand Forks,North Dakota,47.907824,-97.059203,University of North Dakota School of Law,Public,Full ABA,Grand Forks County,
