geo_id,tot_pop
0500000US10005,197871
0500000US11001,604453
0500000US12001,247497
0500000US12003,27106
0500000US12005,169272
0500000US12007,28480
0500000US12009,543573
0500000US12011,1753578
0500000US12013,14599
0500000US12015,159990
0500000US12017,141129
0500000US12019,191395
0500000US12021,322472
0500000US12023,67597
0500000US12027,34984
0500000US12029,16390
0500000US12031,865876
0500000US12033,298043
0500000US12035,95928
0500000US12037,11554
0500000US12039,46449
0500000US12041,16956
0500000US12043,12842
0500000US12045,15847
0500000US12047,14747
0500000US12049,27801
0500000US12051,39180
0500000US12053,173008
0500000US12055,98700
0500000US12057,1233846
0500000US12059,19855
0500000US12061,138268
0500000US12063,49701
0500000US12065,14763
0500000US12067,8891
0500000US12069,297950
0500000US12071,620151
0500000US12073,276058
0500000US12075,40735
0500000US12077,8355
0500000US12079,19205
0500000US12081,323435
0500000US12083,331290
0500000US12085,146393
0500000US12086,2505379
0500000US12087,73269
0500000US12089,73473
0500000US12091,180728
0500000US12093,40041
0500000US12095,1149500
0500000US12097,269837
0500000US12099,1323394
0500000US12101,465543
0500000US12103,916719
0500000US12105,602788
0500000US12107,74262
0500000US12109,191323
0500000US12111,278689
0500000US12113,151966
0500000US12115,379874
0500000US12117,423508
0500000US12119,94074
0500000US12121,41495
0500000US12123,22566
0500000US12125,15524
0500000US12127,494527
0500000US12129,30826
0500000US12131,55233
0500000US12133,24899
0500000US13001,18261
0500000US13003,8366
0500000US13005,11076
0500000US13007,3415
0500000US13009,45735
0500000US13011,18415
0500000US13013,69731
0500000US13015,100195
0500000US13017,17653
0500000US13019,19303
0500000US13021,155715
0500000US13023,13098
0500000US13025,18435
0500000US13027,16199
0500000US13029,30382
0500000US13031,70729
0500000US13033,23367
0500000US13035,23674
0500000US13037,6697
0500000US13039,50697
0500000US13043,11030
0500000US13045,110661
0500000US13047,63975
0500000US13049,12137
0500000US13051,265871
0500000US13053,11136
0500000US13055,26016
0500000US13057,215129
0500000US13059,116668
0500000US13061,3175
0500000US13063,259623
0500000US13065,6800
0500000US13067,690063
0500000US13069,42332
0500000US13071,45628
0500000US13073,124815
0500000US13075,17227
0500000US13077,127955
0500000US13079,12591
0500000US13081,23423
0500000US13083,16609
0500000US13085,22343
0500000US13087,27813
0500000US13089,692902
0500000US13091,21775
0500000US13093,14869
0500000US13095,94577
0500000US13097,132722
0500000US13099,10988
0500000US13101,4050
0500000US13103,52436
0500000US13105,20112
0500000US13107,22664
0500000US13109,11007
0500000US13111,23663
0500000US13113,106945
0500000US13115,96274
0500000US13117,176738
0500000US13119,22048
0500000US13121,926197
0500000US13123,28335
0500000US13125,3080
0500000US13127,79816
