geo_id,state_code,county_code,county_name,cbp_small_biz_count,crunchbase_count,state_abbv,2013_pop_est
0500000US34029,34,29,Ocean County,12323,16,NJ,583414
0500000US20091,20,91,Johnson County,17188,113,KS,566933
0500000US42045,42,45,Delaware County,12589,137,PA,561973
0500000US24003,24,3,Anne Arundel County,13727,86,MD,555743
0500000US41067,41,67,Washington County,14348,144,OR,554996
0500000US25005,25,5,Bristol County,12708,52,MA,552780
0500000US49049,49,49,Utah County,11349,247,UT,551891
0500000US08059,8,59,Jefferson County,16203,80,CO,551798
0500000US12009,12,9,Brevard County,13066,59,FL,550823
0500000US10003,10,3,New Castle County,15397,148,DE,549684
0500000US34039,34,39,Union County,13639,71,NJ,548256
0500000US39153,39,153,Summit County,13353,66,OH,541824
0500000US31055,31,55,Douglas County,15001,103,NE,537256
0500000US39113,39,113,Montgomery County,11444,14,OH,535846
0500000US42071,42,71,Lancaster County,12231,23,PA,529600
0500000US27123,27,123,Ramsey County,13119,95,MN,526714
0500000US06099,6,99,Stanislaus County,8497,3,CA,525491
0500000US17089,17,89,Kane County,12288,3,IL,523643
0500000US34007,34,7,Camden County,11429,16,NJ,512854
0500000US55025,55,25,Dane County,13345,248,WI,509939
0500000US42029,42,29,Chester County,13903,159,PA,509468
0500000US37081,37,81,Guilford County,13146,29,NC,506610
0500000US34031,34,31,Passaic County,11852,24,NJ,505672
0500000US20173,20,173,Sedgwick County,11724,9,KS,505415
0500000US25023,25,23,Plymouth County,11907,36,MA,501915
0500000US12127,12,127,Volusia County,11959,9,FL,500800
0500000US34027,34,27,Morris County,16714,108,NJ,499397
0500000US48339,48,339,Montgomery County,9932,15,TX,499137
0500000US06097,6,97,Sonoma County,13360,149,CA,495025
0500000US18089,18,89,Lake County,9815,11,IN,491456
0500000US53063,53,63,Spokane County,12196,42,WA,479398
0500000US12101,12,101,Pasco County,8776,15,FL,475502
0500000US45045,45,45,Greenville County,12211,88,SC,474266
0500000US36085,36,85,Richmond County,8916,6,NY,472621
0500000US48491,48,491,Williamson County,8888,48,TX,471014
0500000US08001,8,1,Adams County,8543,54,CO,469193
0500000US36067,36,67,Onondaga County,11727,30,NY,468387
0500000US25013,25,13,Hampden County,9644,12,MA,467319
0500000US06107,6,107,Tulare County,6133,4,CA,454143
0500000US19153,19,153,Polk County,11869,55,IA,451677
0500000US34005,34,5,Burlington County,10527,39,NJ,450838
0500000US51810,51,810,Virginia Beach city,10707,27,VA,448479
0500000US22033,22,33,East Baton Rouge Parish,12044,28,LA,445227
0500000US47093,47,93,Knox County,10947,65,TN,444622
0500000US53011,53,11,Clark County,9714,20,WA,443817
0500000US42133,42,133,York County,8551,9,PA,438965
0500000US51153,51,153,Prince William County,7381,5,VA,438580
0500000US39095,39,95,Lucas County,9566,24,OH,436393
0500000US12117,12,117,Seminole County,12619,49,FL,436041
0500000US06083,6,83,Santa Barbara County,11197,238,CA,435697
0500000US22051,22,51,Jefferson Parish,11611,5,LA,434767
0500000US32031,32,31,Washoe County,11453,52,NV,433731
0500000US06053,6,53,Monterey County,8401,3,CA,428826
0500000US06095,6,95,Solano County,6661,11,CA,424788
0500000US48061,48,61,Cameron County,6288,1,TX,417276
0500000US16001,16,1,Ada County,12190,89,ID,416464
0500000US26049,26,49,Genesee County,7732,7,MI,415376
0500000US01097,1,97,Mobile County,8540,5,AL,414079
0500000US42011,42,11,Berks County,8224,9,PA,413521
0500000US27037,27,37,Dakota County,10073,57,MN,408509
0500000US33011,33,11,Hillsborough County,10743,145,NH,403985
0500000US45079,45,79,Richland County,8635,16,SC,399256
0500000US55133,55,133,Waukesha County,12394,29,WI,393843
0500000US05119,5,119,Pulaski County,11983,64,AR,391284
0500000US12115,12,115,Sarasota County,12897,39,FL,390429
0500000US04021,4,21,Pinal County,3302,5,AZ,389350
0500000US41005,41,5,Clackamas County,11101,40,OR,388263
0500000US22071,22,71,Orleans Parish,8638,51,LA,378715
0500000US36071,36,71,Orange County,9134,21,NY,375592
0500000US39151,39,151,Stark County,8273,5,OH,375432
0500000US29183,29,183,St. Charles County,8076,10,MO,373495
0500000US45019,45,19,Charleston County,12115,84,SC,372803
0500000US39017,39,17,Butler County,6967,6,OH,371272
0500000US34021,34,21,Mercer County,9669,142,NJ,370414
0500000US06061,6,61,Placer County,9691,38,CA,367309
0500000US18003,18,3,Allen County,9019,9,IN,363014
0500000US42129,42,129,Westmoreland County,8651,3,PA,362437
0500000US37067,37,67,Forsyth County,8211,25,NC,361220
0500000US41039,41,39,Lane County,9530,17,OR,356212
0500000US42077,42,77,Lehigh County,8407,21,PA,355092
0500000US26161,26,161,Washtenaw County,7948,229,MI,354240
0500000US48355,48,355,Nueces County,7846,3,TX,352107
0500000US51107,51,107,Loudoun County,8964,132,VA,349679
0500000US47065,47,65,Hamilton County,8677,90,TN,348673
0500000US01089,1,89,Madison County,8066,48,AL,346892
0500000US12081,12,81,Manatee County,7920,10,FL,342106
0500000US12021,12,21,Collier County,10612,28,FL,339642
0500000US27003,27,3,Anoka County,7328,6,MN,339534
0500000US12083,12,83,Marion County,6781,4,FL,337362
0500000US34035,34,35,Somerset County,9882,95,NJ,330585
0500000US48039,48,39,Brazoria County,5110,5,TX,330242
0500000US51041,51,41,Chesterfield County,6905,8,VA,327745
0500000US48027,48,27,Bell County,4861,5,TX,326843
0500000US37051,37,51,Cumberland County,5652,0,NC,325871
0500000US41047,41,47,Marion County,7675,4,OR,323614
0500000US49011,49,11,Davis County,6493,17,UT,322094
0500000US36087,36,87,Rockland County,9403,19,NY,320903
0500000US42079,42,79,Luzerne County,7147,10,PA,320103
0500000US51087,51,87,Henrico County,8835,27,VA,318611
0500000US29510,29,510,St. Louis city,9748,66,MO,318416
0500000US08069,8,69,Larimer County,9713,62,CO,315988
0500000US08013,8,13,Boulder County,11676,651,CO,310048
0500000US21067,21,67,Fayette County,8427,69,KY,308428
0500000US12069,12,69,Lake County,6519,7,FL,308034
0500000US17111,17,111,McHenry County,7683,3,IL,307409
0500000US36001,36,1,Albany County,9386,8,NY,306945
0500000US48167,48,167,Galveston County,5366,26,TX,306782
0500000US08035,8,35,Douglas County,8024,10,CO,305963
0500000US12033,12,33,Escambia County,6572,13,FL,305817
0500000US24027,24,27,Howard County,8924,110,MD,304580
0500000US39093,39,93,Lorain County,5523,10,OH,302827
0500000US02020,2,20,Anchorage Municipality,8579,20,AK,300950
0500000US42095,42,95,Northampton County,6193,33,PA,299791
0500000US33015,33,15,Rockingham County,9404,81,NH,299134
0500000US12097,12,97,Osceola County,5080,14,FL,298504
0500000US31109,31,109,Lancaster County,8028,50,NE,297036
0500000US36027,36,27,Dutchess County,7499,9,NY,296916
0500000US18057,18,57,Hamilton County,8063,63,IN,296693
0500000US45083,45,83,Spartanburg County,6122,15,SC,290969
0500000US17201,17,201,Winnebago County,6464,4,IL,290666
0500000US34015,34,15,Gloucester County,5887,6,NJ,290265
0500000US45051,45,51,Horry County,8207,10,SC,289650
0500000US48303,48,303,Lubbock County,6910,7,TX,289324
0500000US37063,37,63,Durham County,6760,349,NC,288133
0500000US12111,12,111,St. Lucie County,5055,12,FL,286832
0500000US23005,23,5,Cumberland County,10884,58,ME,285456
0500000US29077,29,77,Greene County,8183,7,MO,283870
0500000US26065,26,65,Ingham County,6118,29,MI,282234
0500000US12073,12,73,Leon County,7389,10,FL,281845
0500000US47149,47,149,Rutherford County,4649,1,TN,281029
0500000US42049,42,49,Erie County,6218,7,PA,280294
0500000US13051,13,51,Chatham County,7212,4,GA,278434
0500000US06079,6,79,San Luis Obispo County,7864,31,CA,276443
0500000US34001,34,1,Atlantic County,6476,20,NJ,275862
0500000US09011,9,11,New London County,5688,14,CT,274150
0500000US45063,45,63,Lexington County,6158,2,SC,273752
0500000US26139,26,139,Ottawa County,5756,7,MI,272701
0500000US42043,42,43,Dauphin County,6700,14,PA,270937
0500000US08123,8,123,Weld County,5370,6,CO,269785
0500000US06087,6,87,Santa Cruz County,6774,72,CA,269419
0500000US40027,40,27,Cleveland County,5522,12,OK,269340
0500000US17119,17,119,Madison County,5847,5,IL,267225
0500000US17163,17,163,St. Clair County,5317,1,IL,266955
0500000US18141,18,141,St. Joseph County,5770,11,IN,266709
0500000US13063,13,63,Clayton County,3756,2,GA,264220
0500000US06047,6,47,Merced County,2847,2,CA,263228
0500000US48479,48,479,Webb County,5086,0,TX,262495
0500000US53067,53,67,Thurston County,5832,7,WA,262388
0500000US06041,6,41,Marin County,9642,173,CA,258365
0500000US26077,26,77,Kalamazoo County,5487,47,MI,256725
0500000US22017,22,17,Caddo Parish,6297,6,LA,254887
0500000US55009,55,9,Brown County,6293,6,WI,254586
0500000US53035,53,35,Kitsap County,5592,16,WA,253968
0500000US12001,12,1,Alachua County,5843,81,FL,253451
0500000US48245,48,245,Jefferson County,5603,3,TX,252358
0500000US24025,24,25,Harford County,5313,6,MD,249215
0500000US37021,37,21,Buncombe County,7387,26,NC,247912
0500000US53077,53,77,Yakima County,4601,1,WA,247044
0500000US27163,27,163,Washington County,5512,6,MN,246603
0500000US51710,51,710,Norfolk city,5366,10,VA,246139
0500000US28049,28,49,Hinds County,5431,1,MS,244899
0500000US22103,22,103,St. Tammany Parish,6146,6,LA,242333
0500000US48309,48,309,McLennan County,5005,3,TX,241481
0500000US24021,24,21,Frederick County,5945,36,MD,241409
0500000US42041,42,41,Cumberland County,5709,5,PA,241212
0500000US45091,45,91,York County,4538,3,SC,239363
0500000US49057,49,57,Weber County,4994,24,UT,238519
0500000US05007,5,7,Benton County,5439,28,AR,237297
0500000US39099,39,99,Mahoning County,5562,9,OH,233869
0500000US36065,36,65,Oneida County,4840,3,NY,233585
0500000US22055,22,55,Lafayette Parish,8310,8,LA,230845
0500000US51550,51,550,Chesapeake city,5320,2,VA,230571
0500000US29047,29,47,Clay County,4773,5,MO,230473
0500000US39085,39,85,Lake County,6073,11,OH,229857
0500000US01101,1,101,Montgomery County,5518,9,AL,226659
0500000US13057,13,57,Cherokee County,4828,5,GA,225106
0500000US51013,51,13,Arlington County,6201,126,VA,224906
0500000US36091,36,91,Saratoga County,5114,7,NY,223865
0500000US06007,6,7,Butte County,4630,19,CA,222090
0500000US29099,29,99,Jefferson County,3958,0,MO,221396
0500000US39165,39,165,Warren County,3914,19,OH,219169
0500000US05143,5,143,Washington County,4918,108,AR,216410
0500000US19113,19,113,Linn County,5393,18,IA,216111
0500000US48423,48,423,Smith County,5656,3,TX,216080
0500000US04025,4,25,Yavapai County,5541,1,AZ,215133
0500000US25001,25,1,Barnstable County,8319,19,MA,214990
0500000US36063,36,63,Niagara County,4444,0,NY,214249
0500000US51760,51,760,Richmond city,5981,0,VA,214114
