county_name,cbp_small_biz_count,crunchbase_count,state_abbv,state_name
Tangipahoa Parish,2274,1,LA,Louisiana
La Plata County,2293,7,CO,Colorado
Monroe County,2294,1,MI,Michigan
LaPorte County,2296,0,IN,Indiana
Buchanan County,2299,0,MO,Missouri
Brunswick County,2299,0,NC,North Carolina
Hardin County,2302,1,KY,Kentucky
Calhoun County,2308,2,AL,Alabama
Yamhill County,2311,1,OR,Oregon
Houston County,2314,1,GA,Georgia
Delaware County,2318,0,IN,Indiana
Spotsylvania County,2328,0,VA,Virginia
Dougherty County,2330,1,GA,Georgia
Warren County,2336,1,NY,New York
Tompkins County,2340,42,NY,New York
Clark County,2357,5,OH,Ohio
Fond du Lac County,2359,1,WI,Wisconsin
Kankakee County,2362,0,IL,Illinois
Cape Girardeau County,2369,1,MO,Missouri
Victoria County,2369,0,TX,Texas
Hampton city,2370,4,VA,Virginia
Parker County,2378,0,TX,Texas
Douglas County,2388,3,GA,Georgia
Tolland County,2393,4,CT,Connecticut
Randall County,2394,0,TX,Texas
Wilson County,2396,1,TN,Tennessee
Clark County,2400,0,IN,Indiana
Douglas County,2406,1,OR,Oregon
Garfield County,2408,1,CO,Colorado
Lee County,2412,1,MS,Mississippi
Imperial County,2414,0,CA,California
Bossier Parish,2414,3,LA,Louisiana
Glynn County,2424,3,GA,Georgia
Cascade County,2427,0,MT,Montana
Chelan County,2429,2,WA,Washington
Linn County,2432,1,OR,Oregon
Faulkner County,2434,8,AR,Arkansas
Carver County,2435,25,MN,Minnesota
Wayne County,2441,6,OH,Ohio
Macon County,2447,0,IL,Illinois
Jefferson County,2450,3,NY,New York
Twin Falls County,2451,0,ID,Idaho
Allen County,2455,2,OH,Ohio
Canadian County,2455,0,OK,Oklahoma
Mendocino County,2465,2,CA,California
Fairbanks North Star Borough,2468,3,AK,Alaska
Santa Rosa County,2468,1,FL,Florida
Craighead County,2471,1,AR,Arkansas
Cabell County,2473,0,WV,West Virginia
Warren County,2483,1,NJ,New Jersey
Vigo County,2484,2,IN,Indiana
Lee County,2496,8,AL,Alabama
Grayson County,2505,0,TX,Texas
Henderson County,2516,5,NC,North Carolina
Wicomico County,2527,1,MD,Maryland
Madison County,2529,0,TN,Tennessee
Strafford County,2530,13,NH,New Hampshire
Randolph County,2534,2,NC,North Carolina
Sevier County,2543,0,TN,Tennessee
Rowan County,2548,0,NC,North Carolina
Albemarle County,2564,119,VA,Virginia
Fairfield County,2568,5,OH,Ohio
Morgan County,2581,2,AL,Alabama
Walworth County,2587,10,WI,Wisconsin
Franklin County,2596,0,MO,Missouri
DeSoto County,2609,2,MS,Mississippi
Ellis County,2609,7,TX,Texas
Calhoun County,2616,0,MI,Michigan
Charles County,2620,2,MD,Maryland
Lebanon County,2624,2,PA,Pennsylvania
Johnson County,2628,2,TX,Texas
Douglas County,2629,15,KS,Kansas
Lowndes County,2632,1,GA,Georgia
Richland County,2634,0,OH,Ohio
Sheboygan County,2644,2,WI,Wisconsin
Montgomery County,2657,1,TN,Tennessee
Citrus County,2660,3,FL,Florida
Eau Claire County,2661,5,WI,Wisconsin
Aiken County,2665,4,SC,South Carolina
Androscoggin County,2670,2,ME,Maine
Fayette County,2674,0,PA,Pennsylvania
Woodbury County,2685,1,IA,Iowa
Garland County,2691,1,AR,Arkansas
Houston County,2697,0,AL,Alabama
Newport County,2708,6,RI,Rhode Island
LaSalle County,2710,1,IL,Illinois
Wood County,2715,7,OH,Ohio
Berkeley County,2719,0,SC,South Carolina
Ozaukee County,2727,12,WI,Wisconsin
Tom Green County,2735,0,TX,Texas
Onslow County,2742,0,NC,North Carolina
Davidson County,2749,2,NC,North Carolina
Geauga County,2752,2,OH,Ohio
Dubuque County,2762,2,IA,Iowa
Washington County,2776,0,TN,Tennessee
Tazewell County,2790,7,IL,Illinois
Schuylkill County,2798,6,PA,Pennsylvania
San Juan County,2800,1,NM,New Mexico
Mercer County,2800,1,PA,Pennsylvania
Putnam County,2822,3,NY,New York
Ontario County,2835,8,NY,New York
Yuma County,2845,0,AZ,Arizona
Merced County,2847,2,CA,California
Lycoming County,2847,2,PA,Pennsylvania
Jasper County,2855,5,MO,Missouri
Grafton County,2862,24,NH,New Hampshire
Licking County,2885,1,OH,Ohio
Madison County,2891,14,MS,Mississippi
Cumberland County,2892,1,NJ,New Jersey
Warren County,2893,3,KY,Kentucky
Monroe County,2895,11,IN,Indiana
Chautauqua County,2900,6,NY,New York
Laramie County,2905,9,WY,Wyoming
Clarke County,2909,2,GA,Georgia
Sumner County,2933,3,TN,Tennessee
Natrona County,2942,6,WY,Wyoming
Hendricks County,2943,5,IN,Indiana
Jackson County,2945,2,MI,Michigan
Burleigh County,2946,2,ND,North Dakota
Nevada County,2961,6,CA,California
Portage County,2966,5,OH,Ohio
Boone County,2970,1,KY,Kentucky
Rensselaer County,2978,27,NY,New York
Hernando County,2981,2,FL,Florida
La Crosse County,3000,2,WI,Wisconsin
Terrebonne Parish,3002,0,LA,Louisiana
Kenton County,3009,11,KY,Kentucky
Franklin County,3013,1,PA,Pennsylvania
Greene County,3014,3,OH,Ohio
Kenosha County,3018,1,WI,Wisconsin
Pueblo County,3029,5,CO,Colorado
Cache County,3034,8,UT,Utah
Johnston County,3035,2,NC,North Carolina
Wyandotte County,3037,27,KS,Kansas
Florence County,3039,4,SC,South Carolina
Johnson County,3043,3,IN,Indiana
Schenectady County,3060,10,NY,New York
St. Clair County,3066,2,MI,Michigan
Hanover County,3071,4,VA,Virginia
Comal County,3088,6,TX,Texas
Orange County,3089,58,NC,North Carolina
Muskegon County,3127,4,MI,Michigan
Rapides Parish,3141,1,LA,Louisiana
Wright County,3143,1,MN,Minnesota
Wichita County,3146,0,TX,Texas
Alamance County,3155,0,NC,North Carolina
Kent County,3157,3,DE,Delaware
Washington County,3167,7,WI,Wisconsin
Humboldt County,3168,8,CA,California
Roanoke city,3171,0,VA,Virginia
Johnson County,3175,27,IA,Iowa
Fayette County,3179,3,GA,Georgia
Black Hawk County,3190,4,IA,Iowa
Rock County,3194,4,WI,Wisconsin
Blair County,3208,1,PA,Pennsylvania
Scott County,3209,3,MN,Minnesota
Eagle County,3214,5,CO,Colorado
Kennebec County,3214,0,ME,Maine
Bonneville County,3237,6,ID,Idaho
Centre County,3250,11,PA,Pennsylvania
Rock Island County,3253,11,IL,Illinois
Sussex County,3262,2,NJ,New Jersey
Marathon County,3271,2,WI,Wisconsin
Sullivan County,3289,2,TN,Tennessee
Pinal County,3302,5,AZ,Arizona
Grand Traverse County,3302,1,MI,Michigan
Cambria County,3333,0,PA,Pennsylvania
Sarpy County,3335,3,NE,Nebraska
Henry County,3348,6,GA,Georgia
Skagit County,3349,3,WA,Washington
Monroe County,3351,4,PA,Pennsylvania
Tippecanoe County,3357,31,IN,Indiana
Taylor County,3372,2,TX,Texas
Washington County,3416,4,MD,Maryland
Beaver County,3424,5,PA,Pennsylvania
Porter County,3442,3,IN,Indiana
Rankin County,3445,14,MS,Mississippi
Winnebago County,3471,2,WI,Wisconsin
Sebastian County,3472,2,AR,Arkansas
Olmsted County,3487,10,MN,Minnesota
Coconino County,3514,2,AZ,Arizona
Clermont County,3515,7,OH,Ohio
Pitt County,3517,8,NC,North Carolina
Hays County,3540,18,TX,Texas
Dona Ana County,3550,4,NM,New Mexico
Hampshire County,3555,16,MA,Massachusetts
Ector County,3576,1,TX,Texas
Clay County,3594,2,FL,Florida
Mohave County,3600,3,AZ,Arizona
Berrien County,3604,3,MI,Michigan
Monroe County,3613,1,FL,Florida
Canyon County,3620,2,ID,Idaho
Potter County,3624,5,TX,Texas
Anderson County,3638,3,SC,South Carolina
Pennington County,3651,5,SD,South Dakota
Charlotte County,3688,1,FL,Florida
Newport News city,3712,10,VA,Virginia
Washington County,3717,8,RI,Rhode Island
McLean County,3719,2,IL,Illinois
Clayton County,3756,2,GA,Georgia
Cape May County,3805,0,NJ,New Jersey
Hunterdon County,3869,18,NJ,New Jersey
Flathead County,3870,7,MT,Montana
Yolo County,3871,32,CA,California
Gaston County,3892,2,NC,North Carolina
Warren County,3914,19,OH,Ohio
Hawaii County,3917,4,HI,Hawaii
Berkshire County,3922,23,MA,Massachusetts
Hall County,3940,3,GA,Georgia
Jefferson County,3958,0,MO,Missouri
Racine County,3963,2,WI,Wisconsin
Indian River County,3972,16,FL,Florida
Brazos County,3987,16,TX,Texas
Medina County,3988,10,OH,Ohio
Tuscaloosa County,3997,2,AL,Alabama
Benton County,4003,3,WA,Washington
Cabarrus County,4016,0,NC,North Carolina
Merrimack County,4021,14,NH,New Hampshire
Napa County,4036,23,CA,California
Catawba County,4038,1,NC,North Carolina
Bibb County,4051,11,GA,Georgia
Gregg County,4090,0,TX,Texas
Union County,4091,4,NC,North Carolina
Penobscot County,4097,9,ME,Maine
Harrison County,4099,1,MS,Mississippi
Shasta County,4122,5,CA,California
Trumbull County,4125,2,OH,Ohio
Champaign County,4126,61,IL,Illinois
Delaware County,4133,16,OH,Ohio
Middlesex County,4141,12,CT,Connecticut
Livingston County,4156,7,MI,Michigan
Missoula County,4173,20,MT,Montana
Ouachita Parish,4174,1,LA,Louisiana
Washington County,4192,7,UT,Utah
El Dorado County,4229,12,CA,California
Muscogee County,4243,4,GA,Georgia
Shawnee County,4247,2,KS,Kansas
Carroll County,4251,2,MD,Maryland
Broome County,4286,6,NY,New York
Richmond County,4293,0,GA,Georgia
Stearns County,4316,15,MN,Minnesota
Calcasieu Parish,4331,1,LA,Louisiana
Kootenai County,4340,6,ID,Idaho
Saginaw County,4343,5,MI,Michigan
Iredell County,4350,5,NC,North Carolina
Bay County,4375,7,FL,Florida
Scott County,4393,3,IA,Iowa
Maui County,4399,7,HI,Hawaii
Mesa County,4428,6,CO,Colorado
Boone County,4435,26,MO,Missouri
Niagara County,4444,0,NY,New York
York County,4538,3,SC,South Carolina
Peoria County,4549,5,IL,Illinois
Yakima County,4601,1,WA,Washington
Kent County,4629,13,RI,Rhode Island
Butte County,4630,19,CA,California
Alexandria city,4631,63,VA,Virginia
Rutherford County,4649,1,TN,Tennessee
Ulster County,4678,8,NY,New York
Santa Fe County,4711,24,NM,New Mexico
Butler County,4754,6,PA,Pennsylvania
Clay County,4773,5,MO,Missouri
Litchfield County,4780,4,CT,Connecticut
Beaufort County,4798,9,SC,South Carolina
Cherokee County,4828,5,GA,Georgia
Elkhart County,4832,5,IN,Indiana
Shelby County,4836,4,AL,Alabama
Oneida County,4840,3,NY,New York
Bell County,4861,5,TX,Texas
Baldwin County,4865,3,AL,Alabama
Outagamie County,4880,9,WI,Wisconsin
Washington County,4918,108,AR,Arkansas
Gallatin County,4960,33,MT,Montana
Vanderburgh County,4965,2,IN,Indiana
Midland County,4969,4,TX,Texas
Weber County,4994,24,UT,Utah
McLennan County,5005,3,TX,Texas
Okaloosa County,5024,5,FL,Florida
Washington County,5026,6,PA,Pennsylvania
St. Lucie County,5055,12,FL,Florida
Sangamon County,5064,6,IL,Illinois
Osceola County,5080,14,FL,Florida
Webb County,5086,0,TX,Texas
Brazoria County,5110,5,TX,Texas
Saratoga County,5114,7,NY,New York
Martin County,5139,10,FL,Florida
Cass County,5168,14,ND,North Dakota
Kanawha County,5174,2,WV,West Virginia
St. Louis County,5293,9,MN,Minnesota
St. Johns County,5301,29,FL,Florida
Harford County,5313,6,MD,Maryland
St. Clair County,5317,1,IL,Illinois
Chesapeake city,5320,2,VA,Virginia
Sussex County,5334,18,DE,Delaware
Galveston County,5366,26,TX,Texas
Norfolk city,5366,10,VA,Virginia
Weld County,5370,6,CO,Colorado
Lackawanna County,5387,10,PA,Pennsylvania
Linn County,5393,18,IA,Iowa
Hinds County,5431,1,MS,Mississippi
York County,5434,17,ME,Maine
Benton County,5439,28,AR,Arkansas
Kalamazoo County,5487,47,MI,Michigan
Minnehaha County,5497,17,SD,South Dakota
Forsyth County,5505,4,GA,Georgia
Chittenden County,5510,73,VT,Vermont
Washington County,5512,6,MN,Minnesota
Yellowstone County,5516,1,MT,Montana
Montgomery County,5518,9,AL,Alabama
Cleveland County,5522,12,OK,Oklahoma
Lorain County,5523,10,OH,Ohio
Yavapai County,5541,1,AZ,Arizona
Mahoning County,5562,9,OH,Ohio
Kitsap County,5592,16,WA,Washington
Jefferson County,5603,3,TX,Texas
Cumberland County,5652,0,NC,North Carolina
Smith County,5656,3,TX,Texas
New London County,5688,14,CT,Connecticut
Cumberland County,5709,5,PA,Pennsylvania
Ottawa County,5756,7,MI,Michigan
St. Joseph County,5770,11,IN,Indiana
Thurston County,5832,7,WA,Washington
Alachua County,5843,81,FL,Florida
Madison County,5847,5,IL,Illinois
Jackson County,5855,15,OR,Oregon
Gloucester County,5887,6,NJ,New Jersey
Frederick County,5945,36,MD,Maryland
Richmond city,5981,0,VA,Virginia
Lake County,6073,11,OH,Ohio
Deschutes County,6075,42,OR,Oregon
Ingham County,6118,29,MI,Michigan
Spartanburg County,6122,15,SC,South Carolina
Tulare County,6133,4,CA,California
St. Tammany Parish,6146,6,LA,Louisiana
Lexington County,6158,2,SC,South Carolina
Northampton County,6193,33,PA,Pennsylvania
Arlington County,6201,126,VA,Virginia
Williamson County,6211,158,TN,Tennessee
Whatcom County,6212,17,WA,Washington
Erie County,6218,7,PA,Pennsylvania
Cameron County,6288,1,TX,Texas
Brown County,6293,6,WI,Wisconsin
Caddo Parish,6297,6,LA,Louisiana
Winnebago County,6464,4,IL,Illinois
Atlantic County,6476,20,NJ,New Jersey
Davis County,6493,17,UT,Utah
Lake County,6519,7,FL,Florida
Escambia County,6572,13,FL,Florida
Solano County,6661,11,CA,California
Dauphin County,6700,14,PA,Pennsylvania
Durham County,6760,349,NC,North Carolina
Santa Cruz County,6774,72,CA,California
Marion County,6781,4,FL,Florida
New Hanover County,6796,20,NC,North Carolina
Chesterfield County,6905,8,VA,Virginia
Lubbock County,6910,7,TX,Texas
Butler County,6967,6,OH,Ohio
Luzerne County,7147,10,PA,Pennsylvania
Chatham County,7212,4,GA,Georgia
Anoka County,7328,6,MN,Minnesota
Prince William County,7381,5,VA,Virginia
Buncombe County,7387,26,NC,North Carolina
Leon County,7389,10,FL,Florida
Dutchess County,7499,9,NY,New York
Marion County,7675,4,OR,Oregon
McHenry County,7683,3,IL,Illinois
Genesee County,7732,7,MI,Michigan
Nueces County,7846,3,TX,Texas
San Luis Obispo County,7864,31,CA,California
Manatee County,7920,10,FL,Florida
Washtenaw County,7948,229,MI,Michigan
Douglas County,8024,10,CO,Colorado
Lancaster County,8028,50,NE,Nebraska
Hamilton County,8063,63,IN,Indiana
Madison County,8066,48,AL,Alabama
St. Charles County,8076,10,MO,Missouri
Greene County,8183,7,MO,Missouri
Horry County,8207,10,SC,South Carolina
Forsyth County,8211,25,NC,North Carolina
Berks County,8224,9,PA,Pennsylvania
Stark County,8273,5,OH,Ohio
Lafayette Parish,8310,8,LA,Louisiana
Barnstable County,8319,19,MA,Massachusetts
Monterey County,8401,3,CA,California
Lehigh County,8407,21,PA,Pennsylvania
Fayette County,8427,69,KY,Kentucky
Stanislaus County,8497,3,CA,California
Mobile County,8540,5,AL,Alabama
Adams County,8543,54,CO,Colorado
York County,8551,9,PA,Pennsylvania
Anchorage Municipality,8579,20,AK,Alaska
Richland County,8635,16,SC,South Carolina
Orleans Parish,8638,51,LA,Louisiana
Westmoreland County,8651,3,PA,Pennsylvania
Hamilton County,8677,90,TN,Tennessee
Pasco County,8776,15,FL,Florida
Henrico County,8835,27,VA,Virginia
Williamson County,8888,48,TX,Texas
Richmond County,8916,6,NY,New York
Howard County,8924,110,MD,Maryland
Loudoun County,8964,132,VA,Virginia
Allen County,9019,9,IN,Indiana
Orange County,9134,21,NY,New York
Albany County,9386,8,NY,New York
Rockland County,9403,19,NY,New York
Rockingham County,9404,81,NH,New Hampshire
Lane County,9530,17,OR,Oregon
Lucas County,9566,24,OH,Ohio
Marin County,9642,173,CA,California
Hampden County,9644,12,MA,Massachusetts
Mercer County,9669,142,NJ,New Jersey
Placer County,9691,38,CA,California
Larimer County,9713,62,CO,Colorado
Clark County,9714,20,WA,Washington
St. Louis city,9748,66,MO,Missouri
Lake County,9815,11,IN,Indiana
Somerset County,9882,95,NJ,New Jersey
Montgomery County,9932,15,TX,Texas
Dakota County,10073,57,MN,Minnesota
Burlington County,10527,39,NJ,New Jersey
Collier County,10612,28,FL,Florida
San Joaquin County,10647,7,CA,California
Virginia Beach city,10707,27,VA,Virginia
Hillsborough County,10743,145,NH,New Hampshire
Fort Bend County,10779,34,TX,Texas
Cumberland County,10884,58,ME,Maine
Polk County,10898,25,FL,Florida
Knox County,10947,65,TN,Tennessee
Clackamas County,11101,40,OR,Oregon
Santa Barbara County,11197,238,CA,California
Utah County,11349,247,UT,Utah
Camden County,11429,16,NJ,New Jersey
Montgomery County,11444,14,OH,Ohio
Washoe County,11453,52,NV,Nevada
Jefferson Parish,11611,5,LA,Louisiana
Hidalgo County,11655,4,TX,Texas
Boulder County,11676,651,CO,Colorado
Sedgwick County,11724,9,KS,Kansas
Onondaga County,11727,30,NY,New York
Passaic County,11852,24,NJ,New Jersey
Polk County,11869,55,IA,Iowa
Plymouth County,11907,36,MA,Massachusetts
Volusia County,11959,9,FL,Florida
Pulaski County,11983,64,AR,Arkansas
East Baton Rouge Parish,12044,28,LA,Louisiana
Charleston County,12115,84,SC,South Carolina
Ada County,12190,89,ID,Idaho
Spokane County,12196,42,WA,Washington
Greenville County,12211,88,SC,South Carolina
Baltimore city,12227,0,MD,Maryland
Lancaster County,12231,23,PA,Pennsylvania
Kane County,12288,3,IL,Illinois
Kern County,12315,53,CA,California
Ocean County,12323,16,NJ,New Jersey
Waukesha County,12394,29,WI,Wisconsin
Denton County,12489,59,TX,Texas
Delaware County,12589,137,PA,Pennsylvania
Seminole County,12619,49,FL,Florida
Bristol County,12708,52,MA,Massachusetts
Hudson County,12830,120,NJ,New Jersey
Sarasota County,12897,39,FL,Florida
Brevard County,13066,59,FL,Florida
Ramsey County,13119,95,MN,Minnesota
Guilford County,13146,29,NC,North Carolina
Dane County,13345,248,WI,Wisconsin
Summit County,13353,66,OH,Ohio
Sonoma County,13360,149,CA,California
Union County,13639,71,NJ,New Jersey
Anne Arundel County,13727,86,MD,Maryland
El Paso County,13777,6,TX,Texas
Chester County,13903,159,PA,Pennsylvania
Prince George's County,14253,87,MD,Maryland
Washington County,14348,144,OR,Oregon
Will County,14349,11,IL,Illinois
Douglas County,15001,103,NE,Nebraska
New Castle County,15397,148,DE,Delaware
Providence County,15481,189,RI,Rhode Island
Kent County,15558,41,MI,Michigan
Bernalillo County,15773,137,NM,New Mexico
Fresno County,15938,21,CA,California
El Paso County,15974,62,CO,Colorado
DeKalb County,16006,44,GA,Georgia
Jefferson County,16168,74,AL,Alabama
Jefferson County,16203,80,CO,Colorado
Lee County,16390,34,FL,Florida
