county_name,cbp_small_biz_count,crunchbase_count,state_abbv,state_name
San Francisco County,32266,7422,CA,California
San Bernardino County,32356,97,CA,California
Cuyahoga County,32879,383,OH,Ohio
Orange County,33178,179,FL,Florida
Hillsborough County,33200,173,FL,Florida
DuPage County,33226,157,IL,Illinois
Allegheny County,33457,664,PA,Pennsylvania
Fulton County,33715,1014,GA,Georgia
Bexar County,33778,188,TX,Texas
Riverside County,34706,69,CA,California
Alameda County,37020,1392,CA,California
Oakland County,38282,167,MI,Michigan
Tarrant County,38669,91,TX,Texas
Hennepin County,39032,580,MN,Minnesota
Clark County,40813,322,NV,Nevada
Middlesex County,42674,3530,MA,Massachusetts
Palm Beach County,44180,312,FL,Florida
Santa Clara County,46020,6692,CA,California
Queens County,46414,55,NY,New York
Nassau County,47619,96,NY,New York
Suffolk County,48625,109,NY,New York
Kings County,53123,339,NY,New York
Broward County,57531,245,FL,Florida
Dallas County,62224,744,TX,Texas
King County,64005,2383,WA,Washington
San Diego County,78212,1867,CA,California
Miami-Dade County,78493,404,FL,Florida
Maricopa County,85793,552,AZ,Arizona
Orange County,89271,1261,CA,California
Harris County,95012,570,TX,Texas
New York County,104957,6159,NY,New York
