geo_id,company_count
0500000US22001,2
0500000US16001,89
0500000US08001,54
0500000US31001,6
0500000US16003,1
0500000US17001,1
0500000US50001,10
0500000US45003,4
0500000US12001,81
0500000US06001,1392
0500000US36001,8
0500000US56001,3
0500000US51003,119
0500000US28003,1
0500000US51510,63
0500000US24001,2
0500000US51005,2
0500000US42003,664
0500000US18003,9
0500000US39003,2
0500000US21003,1
0500000US02020,20
0500000US47001,7
0500000US48001,1
0500000US45007,3
0500000US23001,2
0500000US24003,86
0500000US27003,6
0500000US19007,1
0500000US48007,2
0500000US08005,248
0500000US48009,1
0500000US08007,1
0500000US51013,126
0500000US42005,2
0500000US23003,3
0500000US22005,1
0500000US37009,1
0500000US39007,1
0500000US39009,8
0500000US34001,20
0500000US29007,3
0500000US01003,3
0500000US24005,353
0500000US45009,3
0500000US16005,1
0500000US25001,19
0500000US26015,1
0500000US48021,1
0500000US12005,7
0500000US45013,9
0500000US42007,5
0500000US42009,1
0500000US51019,1
0500000US33001,1
0500000US48027,5
0500000US50003,1
0500000US05007,28
0500000US41003,13
0500000US53005,3
0500000US34003,162
0500000US42011,9
0500000US25003,23
0500000US35001,137
0500000US26021,3
0500000US48029,188
0500000US13021,11
0500000US19013,4
0500000US16013,1
0500000US42013,1
0500000US16017,5
0500000US16019,6
0500000US29019,26
0500000US05009,1
0500000US18011,4
0500000US19015,1
0500000US54005,1
0500000US21015,1
0500000US22015,3
0500000US08013,651
0500000US48037,1
0500000US49003,2
0500000US21019,1
0500000US42015,1
0500000US47011,1
0500000US26023,1
0500000US48039,5
0500000US48041,16
0500000US21027,1
0500000US12009,59
0500000US25005,52
0500000US44001,2
0500000US51191,2
0500000US30007,4
0500000US36005,5
0500000US46011,1
0500000US13027,1
0500000US36007,6
0500000US08014,73
0500000US12011,245
0500000US46013,1
0500000US55009,6
0500000US51025,1
0500000US42017,129
0500000US31019,2
0500000US37021,26
0500000US17011,8
0500000US37023,4
0500000US38015,2
0500000US34005,39
0500000US48053,1
0500000US42019,6
0500000US39017,6
0500000US06007,19
0500000US49005,8
0500000US22017,6
0500000US06009,1
0500000US22019,1
0500000US48055,1
0500000US50005,1
0500000US01015,2
0500000US21035,1
0500000US55015,4
0500000US34007,16
0500000US13039,2
0500000US48061,1
0500000US22023,2
0500000US21037,14
0500000US16027,2
0500000US29031,1
0500000US56007,1
0500000US13045,2
0500000US24013,2
0500000US33003,1
0500000US18015,1
0500000US32510,10
0500000US40019,1
0500000US29035,6
0500000US37031,1
0500000US27019,25
0500000US48067,1
0500000US38017,14
0500000US27021,1
0500000US37033,1
0500000US37035,1
0500000US36009,4
0500000US36011,2
0500000US24015,2
0500000US42027,11
0500000US19033,5
0500000US17019,61
0500000US24017,2
0500000US45019,84
0500000US12015,1
0500000US31029,3
0500000US37037,10
0500000US13051,4
0500000US36013,6
0500000US35005,1
0500000US53007,2
0500000US36017,1
0500000US13057,5
0500000US51550,2
0500000US33005,2
0500000US42029,159
0500000US45025,1
0500000US51041,8
0500000US50007,73
0500000US37041,1
0500000US29043,2
0500000US17021,5
0500000US35006,1
0500000US12017,3
0500000US41005,40
0500000US53009,2
0500000US26035,2
0500000US42031,3
0500000US53011,20
0500000US32003,322
0500000US39023,5
0500000US05019,2
0500000US13059,2
0500000US12019,2
0500000US29047,5
0500000US46027,1
0500000US13063,2
0500000US19043,1
0500000US39025,7
0500000US40027,12
0500000US42035,1
0500000US36019,3
0500000US13067,48
0500000US04005,2
0500000US46029,1
0500000US01031,2
0500000US47031,21
0500000US01033,3
0500000US17029,1
0500000US35007,1
0500000US12021,28
0500000US48085,192
0500000US51570,1
0500000US13071,1
0500000US42037,2
0500000US12023,2
0500000US36021,1
0500000US41009,1
0500000US39029,1
0500000US48091,6
0500000US08021,1
0500000US06013,205
0500000US17031,1431
0500000US28029,2
0500000US48099,1
0500000US01039,3
0500000US13077,1
0500000US40035,1
0500000US05031,1
0500000US05033,2
0500000US20037,1
0500000US29055,2
0500000US05035,2
0500000US27035,6
0500000US08025,1
0500000US23005,58
0500000US42041,5
0500000US34011,1
0500000US31039,1
0500000US39035,383
0500000US27037,57
0500000US01045,1
0500000US48113,744
0500000US55025,248
0500000US51590,1
0500000US39037,1
0500000US42043,14
0500000US47037,413
0500000US37057,2
0500000US21059,4
0500000US19051,1
0500000US49011,17
0500000US47039,11
0500000US13089,44
0500000US42045,137
0500000US39041,16
0500000US36025,1
0500000US26041,1
0500000US02068,1
0500000US48121,59
0500000US08031,530
0500000US41017,42
0500000US28033,2
0500000US46039,1
0500000US48125,1
0500000US47043,1
0500000US11001,460
0500000US55027,3
0500000US35013,4
0500000US55029,1
0500000US24019,4
0500000US45035,2
0500000US13095,1
0500000US31055,103
0500000US08035,10
0500000US13097,3
0500000US20045,15
0500000US41019,1
0500000US55031,5
0500000US32005,1
0500000US18037,1
0500000US19061,2
0500000US49013,1
0500000US29069,14
0500000US17043,157
0500000US37063,349
0500000US36027,9
0500000US12031,61
0500000US08037,5
0500000US22033,28
0500000US26045,1
0500000US55035,5
0500000US48135,1
0500000US37065,5
0500000US17049,1
0500000US06017,12
0500000US08041,62
0500000US48141,6
0500000US18039,5
0500000US32007,1
0500000US48139,7
0500000US01051,1
0500000US26047,5
0500000US38029,1
0500000US36029,97
0500000US42049,7
0500000US12033,13
0500000US25009,222
0500000US34013,123
0500000US36031,2
0500000US02090,3
0500000US51059,550
0500000US09001,308
0500000US39045,5
0500000US30025,1
0500000US51610,13
0500000US05045,8
0500000US51061,3
0500000US21067,69
0500000US47047,1
0500000US19065,1
0500000US13113,3
0500000US12035,3
0500000US30029,7
0500000US45041,4
0500000US13115,1
0500000US18043,8
0500000US55039,1
0500000US28035,5
0500000US13117,4
0500000US37067,25
0500000US48157,34
0500000US39049,212
0500000US21073,2
0500000US25011,1
0500000US20059,1
0500000US53021,1
0500000US42055,1
0500000US24021,36
0500000US51069,2
0500000US51630,5
0500000US16043,1
0500000US56013,1
0500000US19071,1
0500000US06019,21
0500000US13121,1014
0500000US31067,5
0500000US48165,8
0500000US30031,33
0500000US21077,1
0500000US48167,26
0500000US08045,1
0500000US05051,1
0500000US37071,2
0500000US20061,1
0500000US39055,2
0500000US36037,6
0500000US26049,7
0500000US45043,1
0500000US47053,1
0500000US04007,4
0500000US34015,6
0500000US13127,3
0500000US16047,1
0500000US33009,24
0500000US38035,5
0500000US26055,1
0500000US18053,3
0500000US35017,1
0500000US37077,2
0500000US48179,1
0500000US36039,1
