geo_id,company_count,tot_pop,companies_per_capita
0500000US35025,1,64698,1.54564E-05
0500000US20155,1,64597,1.54806E-05
0500000US13255,1,64081,1.56052E-05
0500000US37163,1,63540,1.57381E-05
0500000US26117,1,63270,1.58053E-05
0500000US36021,1,63073,1.58546E-05
0500000US05131,2,125920,1.58831E-05
0500000US48039,5,314494,1.58986E-05
0500000US42015,1,62651,1.59614E-05
0500000US48027,5,313000,1.59744E-05
0500000US45007,3,187269,1.60197E-05
0500000US05115,1,61867,1.61637E-05
0500000US17197,11,678697,1.62075E-05
0500000US37191,2,122907,1.62725E-05
0500000US39017,6,368630,1.62765E-05
0500000US26149,1,61262,1.63233E-05
0500000US01003,3,183195,1.6376E-05
0500000US13157,1,60706,1.64728E-05
0500000US26049,7,424926,1.64735E-05
0500000US37167,1,60595,1.6503E-05
0500000US17077,1,60361,1.6567E-05
0500000US45043,1,60094,1.66406E-05
0500000US33001,1,60085,1.66431E-05
0500000US13139,3,180253,1.66433E-05
0500000US18173,1,59835,1.67126E-05
0500000US01103,2,119626,1.67188E-05
0500000US09015,2,118519,1.68749E-05
0500000US01015,2,118510,1.68762E-05
0500000US26015,1,59044,1.69365E-05
0500000US53071,1,58963,1.69598E-05
0500000US37087,1,58935,1.69678E-05
0500000US53005,3,176455,1.70015E-05
0500000US49045,1,58557,1.70774E-05
0500000US48001,1,58452,1.71081E-05
0500000US13059,2,116668,1.71427E-05
0500000US42081,2,116143,1.72202E-05
0500000US55117,2,115472,1.73202E-05
0500000US55063,2,114874,1.74104E-05
0500000US42103,1,57329,1.74432E-05
0500000US08045,1,56139,1.78129E-05
0500000US28109,1,55788,1.7925E-05
0500000US20173,9,499393,1.80219E-05
0500000US13045,2,110661,1.80732E-05
0500000US19163,3,165841,1.80896E-05
0500000US27003,6,331302,1.81104E-05
0500000US12127,9,494527,1.81992E-05
0500000US18127,3,164592,1.82269E-05
0500000US48199,1,54748,1.82655E-05
0500000US10001,3,162912,1.84148E-05
0500000US18167,2,107958,1.85257E-05
0500000US17029,1,53924,1.85446E-05
0500000US39057,3,161605,1.85638E-05
0500000US17119,5,269271,1.85687E-05
0500000US23001,2,107623,1.85834E-05
0500000US47165,3,161250,1.86047E-05
0500000US31153,3,159709,1.87842E-05
0500000US01113,1,53188,1.88012E-05
0500000US39003,2,106205,1.88315E-05
0500000US39037,1,52968,1.88793E-05
0500000US17095,1,52919,1.88968E-05
0500000US29113,1,52702,1.89746E-05
0500000US35013,4,210538,1.89989E-05
0500000US26021,3,156805,1.9132E-05
0500000US32019,1,52049,1.92127E-05
0500000US06031,3,153174,1.95856E-05
0500000US24015,2,101199,1.9763E-05
0500000US37179,4,202206,1.97818E-05
0500000US36017,1,50405,1.98393E-05
0500000US01045,1,50358,1.98578E-05
0500000US36057,1,50250,1.99005E-05
0500000US17063,1,50144,1.99426E-05
0500000US26091,2,99763,2.00475E-05
0500000US47043,1,49733,2.01074E-05
0500000US47053,1,49717,2.01138E-05
0500000US42009,1,49709,2.01171E-05
0500000US48265,1,49658,2.01377E-05
0500000US21019,1,49580,2.01694E-05
0500000US39149,1,49374,2.02536E-05
0500000US12055,2,98700,2.02634E-05
0500000US41009,1,49343,2.02663E-05
0500000US36039,1,49159,2.03422E-05
0500000US01117,4,195828,2.04261E-05
0500000US32007,1,48926,2.0439E-05
0500000US28149,1,48840,2.0475E-05
0500000US21113,1,48716,2.05271E-05
0500000US42133,9,435490,2.06664E-05
0500000US34015,6,288581,2.07914E-05
0500000US33003,1,47836,2.09048E-05
0500000US36025,1,47832,2.09065E-05
0500000US40019,1,47622,2.09987E-05
0500000US13215,4,190417,2.10065E-05
0500000US18113,1,47541,2.10345E-05
0500000US09005,4,189840,2.10704E-05
0500000US21209,1,47443,2.10779E-05
0500000US37169,1,47351,2.11189E-05
0500000US42041,5,235861,2.11989E-05
0500000US12017,3,141129,2.12571E-05
0500000US32005,1,46956,2.12965E-05
0500000US19061,2,93880,2.13038E-05
0500000US39055,2,93408,2.14114E-05
0500000US18081,3,140009,2.14272E-05
0500000US45025,1,46665,2.14293E-05
0500000US40071,1,46460,2.15239E-05
0500000US15001,4,185406,2.15743E-05
0500000US40121,1,45854,2.18083E-05
0500000US42011,9,411850,2.18526E-05
0500000US13071,1,45628,2.19164E-05
0500000US06009,1,45490,2.19829E-05
0500000US42073,2,90968,2.19858E-05
0500000US29161,1,45301,2.20746E-05
0500000US26023,1,45137,2.21548E-05
0500000US18089,11,495981,2.21783E-05
0500000US06093,1,44929,2.22573E-05
0500000US29047,5,222718,2.24499E-05
0500000US54069,1,44449,2.24977E-05
0500000US06019,21,933248,2.25021E-05
0500000US13097,3,132722,2.26036E-05
0500000US13117,4,176738,2.26324E-05
0500000US06045,2,87828,2.27718E-05
0500000US56037,1,43621,2.29247E-05
0500000US27139,3,130487,2.29908E-05
0500000US48473,1,43422,2.30298E-05
0500000US42115,1,43277,2.3107E-05
0500000US39119,2,86142,2.32175E-05
0500000US13057,5,215129,2.32419E-05
0500000US26121,4,172068,2.32466E-05
